city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 16e,66.0,2.0,1.0,2.0,1.0,True,690000.0,Passy - Maison de la Radio - Muette-Sud,medium
Paris 9e,49.47,3.0,2.0,6.0,5.0,True,755000.0,Clichy - Trinité,small
Paris 17e,79.0,3.0,2.0,6.0,1.0,True,832000.0,La Fourche - Guy Moquet,medium
Paris 15e,67.0,3.0,2.0,9.0,5.0,True,725000.0,Saint-Lambert - Convention,medium
Paris 14e,67.0,3.0,2.0,3.0,3.0,True,875000.0,Montparnasse - Raspail,medium
Paris 18e,76.0,4.0,2.0,4.0,4.0,False,930000.0,Montmartre - Sacré Coeur - Abbesses,medium
Paris 19e,24.0,1.0,0.0,9.0,7.0,True,181990.0,Porte de la Villette,small
Paris 18e,37.0,2.0,1.0,6.0,1.0,True,340000.0,Jules Joffrin,small
Paris 7e,57.1,2.0,1.0,6.0,3.0,True,837000.0,Champ de Mars,small
Paris 14e,72.0,3.0,2.0,16.0,5.0,True,665000.0,Didot - Porte de Vanves,medium
Paris 5e,16.0,1.0,1.0,5.0,5.0,True,212000.0,Jardin des Plantes,small
Paris 15e,36.0,2.0,1.0,5.0,1.0,True,464000.0,Pasteur - Montparnasse,small
Paris 15e,46.0,2.0,1.0,11.0,7.0,True,391800.0,Alleray - Procession,small
Paris 16e,161.21,4.0,2.0,4.0,2.0,True,2350000.0,Muette-Nord - Trocadéro,large
Paris 16e,57.0,2.0,1.0,8.0,6.0,True,650000.0,Passy - Maison de la Radio - Muette-Sud,small
Paris 17e,25.0,1.0,0.0,3.0,2.0,True,267000.0,Epinettes - Bessières,small
Paris 6e,117.0,4.0,3.0,9.0,3.0,True,2000000.0,Notre Dame des Champs,large
Paris 18e,87.1,4.0,3.0,6.0,1.0,True,995000.0,Jules Joffrin,medium
Paris 6e,27.0,2.0,1.0,4.0,2.0,True,470000.0,Odéon - Mabillon,small
Paris 20e,88.7,4.0,3.0,6.0,1.0,True,675000.0,Plaine - Lagny,medium
Paris 14e,94.0,5.0,3.0,7.0,0.0,True,850000.0,Jean Moulin - Porte d'Orléans,medium
Paris 19e,16.0,1.0,0.0,17.0,17.0,True,180000.0,Flandre - Aubervilliers,small
Paris 10e,47.58,2.0,1.0,5.0,2.0,True,490000.0,Goncourt - Canal Saint-Martin,small
Paris 18e,61.0,3.0,2.0,6.0,1.0,True,429000.0,Porte de la Chapelle - Charles Hermite - Evangile,medium
Paris 16e,47.0,2.0,1.0,6.0,3.0,True,525000.0,Porte de Saint-Cloud - Auteuil-Sud,small
Paris 18e,23.0,2.0,1.0,7.0,0.0,True,215000.0,Montmartre - Sacré Coeur - Abbesses,small
Paris 9e,142.0,6.0,4.0,6.0,3.0,True,1560000.0,Clichy - Trinité,large
Paris 19e,85.58,4.0,3.0,9.0,4.0,True,550000.0,Flandre - Aubervilliers,medium
Paris 11e,63.05,3.0,2.0,6.0,4.0,True,699000.0,République - Saint-Ambroise,medium
Paris 10e,38.0,2.0,1.0,8.0,6.0,True,460000.0,Porte Saint-Martin - Paradis,small
Paris 19e,36.0,2.0,1.0,6.0,1.0,True,299000.0,Flandre - Aubervilliers,small
Paris 16e,176.0,5.0,4.0,6.0,0.0,False,1095000.0,Passy - Maison de la Radio - Muette-Sud,large
Paris 4e,112.0,3.0,2.0,6.0,5.0,True,1890000.0,Saint-Gervais,large
Paris 10e,192.0,8.0,6.0,3.0,1.0,True,1780000.0,Goncourt - Canal Saint-Martin,large
Paris 2e,27.0,2.0,2.0,6.0,6.0,True,260000.0,Gaillon - Vivienne,small
Paris 18e,51.32,3.0,2.0,6.0,1.0,True,495000.0,La Chapelle - Marx Dormoy,small
Paris 13e,90.19,3.0,2.0,9.0,1.0,True,935000.0,Bièvre Sud - Tolbiac,medium
Paris 18e,48.0,3.0,2.0,9.0,1.0,True,475000.0,Barbès - Château Rouge,small
Paris 12e,55.0,3.0,2.0,6.0,2.0,True,559000.0,Nation - Picpus,small
Paris 7e,100.0,5.0,3.0,8.0,2.0,True,1823000.0,Breteuil,medium
Paris 18e,72.0,4.0,3.0,6.0,1.0,False,718900.0,Montmartre - Sacré Coeur - Abbesses,medium
Paris 20e,299.0,5.0,4.0,3.0,1.0,True,1800000.0,Père Lachaise - Réunion,large
Paris 17e,49.0,3.0,2.0,5.0,1.0,True,560000.0,La Fourche - Guy Moquet,small
Paris 18e,89.5,5.0,3.0,10.0,3.0,True,928000.0,Grandes Carrières - Clichy,medium
Paris 7e,121.5,5.0,3.0,6.0,1.0,True,1930000.0,Breteuil,large
Paris 12e,63.0,3.0,2.0,8.0,5.0,True,649000.0,Jardin de Reuilly,medium
Paris 13e,86.0,3.0,2.0,11.0,4.0,True,995000.0,Croulebarbe,medium
Paris 16e,33.0,1.0,0.0,10.0,2.0,True,425000.0,Dauphine,small
Paris 12e,40.0,3.0,2.0,5.0,0.0,True,339000.0,Bel-Air - Sud,small
Paris 16e,45.0,2.0,1.0,7.0,1.0,True,575000.0,Dauphine,small
Paris 20e,60.0,3.0,2.0,9.0,8.0,True,580000.0,Gambetta,small
Paris 19e,50.0,2.0,1.0,11.0,8.0,False,545000.0,Porte de la Villette,small
Paris 15e,70.0,3.0,2.0,8.0,4.0,True,639000.0,Alleray - Procession,medium
Paris 19e,50.5,2.0,1.0,7.0,1.0,True,449000.0,Bassin de la Villette,small
Paris 12e,19.0,1.0,0.0,6.0,0.0,True,205000.0,Bel-Air - Nord,small
Paris 11e,103.0,5.0,3.0,6.0,6.0,True,1260000.0,République - Saint-Ambroise,large
Paris 16e,100.0,4.0,3.0,7.0,0.0,True,998000.0,Porte de Saint-Cloud - Auteuil-Sud,medium
Paris 17e,116.7,5.0,3.0,8.0,1.0,True,1450000.0,Ternes - Maillot,large
Paris 10e,72.41,3.0,2.0,6.0,3.0,True,785000.0,Goncourt - Canal Saint-Martin,medium
Paris 17e,46.42,2.0,1.0,7.0,7.0,True,475000.0,Ternes - Maillot,small
Paris 6e,60.0,3.0,2.0,5.0,2.0,True,1085000.0,Saint-Michel - Monnaie,small
Paris 11e,74.0,3.0,2.0,4.0,1.0,True,775000.0,République - Saint-Ambroise,medium
Paris 20e,116.0,5.0,3.0,3.0,2.0,True,1200000.0,Père Lachaise - Réunion,large
Paris 14e,82.0,4.0,2.0,7.0,1.0,True,812500.0,Pernety,medium
Paris 4e,102.73,4.0,2.0,4.0,5.0,True,1638000.0,Les Iles,large
Paris 20e,64.0,3.0,2.0,6.0,0.0,True,570000.0,Père Lachaise - Réunion,medium
Paris 15e,43.0,3.0,1.0,5.0,4.0,True,476000.0,Saint-Lambert - Convention,small
Paris 15e,90.0,4.0,3.0,11.0,3.0,True,875500.0,Emeriau - Zola,medium
Paris 18e,39.0,3.0,2.0,6.0,2.0,True,385000.0,Grandes Carrières - Clichy,small
Paris 4e,58.0,4.0,2.0,6.0,0.0,False,350000.0,Arsenal,small
Paris 16e,68.31,3.0,1.0,5.0,2.0,True,855000.0,Chaillot,medium
Paris 20e,73.0,4.0,3.0,5.0,2.0,True,728000.0,Saint-Blaise,medium
Paris 13e,74.0,3.0,2.0,18.0,18.0,True,630000.0,Nationale - Deux Moulins,medium
Paris 8e,108.5,4.0,2.0,6.0,5.0,True,1390000.0,Saint-Philippe du Roule,large
Paris 5e,53.0,3.0,2.0,5.0,3.0,True,980000.0,Val de Grâce,small
Paris 14e,28.0,1.0,0.0,6.0,0.0,True,330000.0,Montparnasse - Raspail,small
Paris 17e,105.0,5.0,3.0,5.0,2.0,True,1140000.0,Ternes - Maillot,large
Paris 14e,50.0,3.0,2.0,4.0,3.0,True,535000.0,Pernety,small
Paris 15e,16.0,2.0,1.0,6.0,0.0,True,245000.0,Citroën - Boucicaut,small
Paris 13e,300.0,12.0,10.0,6.0,0.0,True,1995000.0,Olympiades - Choisy,large
Paris 17e,60.0,3.0,2.0,6.0,2.0,True,725000.0,Courcelles - Wagram,small
Paris 18e,47.0,3.0,2.0,5.0,4.0,False,232035.0,Barbès - Château Rouge,small
Paris 11e,27.0,2.0,1.0,4.0,2.0,True,340000.0,Belleville - Saint-Maur,small
