city,surfaceArea,roomsQuantity,bedroomsQuantity,floorQuantity,floor,isInCondominium,price,district_libelle,surfaceArea_bins
Paris 19e,88.0,4.0,2.0,10.0,9.0,True,600000.0,Flandre - Aubervilliers,medium
Paris 14e,39.0,2.0,1.0,11.0,4.0,True,514000.0,Pernety,small
Paris 11e,37.0,1.0,0.0,10.0,1.0,True,372000.0,Nation - Alexandre Dumas,small
Paris 10e,60.0,3.0,1.0,6.0,1.0,True,660000.0,Château d'Eau - Lancry,small
Paris 19e,83.0,4.0,2.0,10.0,2.0,True,499000.0,Flandre - Aubervilliers,medium
Paris 11e,92.0,4.0,2.0,6.0,1.0,True,900000.0,Belleville - Saint-Maur,medium
Paris 13e,56.0,3.0,2.0,8.0,4.0,True,490000.0,Olympiades - Choisy,small
Paris 10e,92.0,5.0,4.0,6.0,4.0,True,950000.0,Porte Saint-Martin - Paradis,medium
Paris 17e,52.0,3.0,2.0,6.0,4.0,True,585000.0,Epinettes - Bessières,small
Paris 5e,56.0,2.0,1.0,6.0,0.0,True,550000.0,Monge - Jussieu,small
Paris 15e,73.0,4.0,2.0,6.0,2.0,True,663000.0,Dupleix - Motte Picquet,medium
Paris 15e,73.0,4.0,3.0,6.0,2.0,True,663000.0,Dupleix - Motte Picquet,medium
Paris 14e,57.0,3.0,2.0,5.0,5.0,True,635000.0,Didot - Porte de Vanves,small
Paris 15e,57.0,2.0,1.0,9.0,8.0,True,599000.0,Alleray - Procession,small
Paris 17e,47.0,2.0,1.0,5.0,2.0,True,523000.0,Courcelles - Wagram,small
Paris 12e,91.0,4.0,3.0,6.0,3.0,False,482932.0,Bel-Air - Sud,medium
Paris 17e,65.0,3.0,1.0,6.0,1.0,True,799000.0,Batignolles - Cardinet,medium
Paris 5e,64.0,3.0,1.0,6.0,5.0,False,571900.0,Monge - Jussieu,medium
Paris 17e,113.0,5.0,3.0,10.0,6.0,False,860200.0,Pereire,large
Paris 5e,42.0,2.0,1.0,4.0,2.0,True,700000.0,Val de Grâce,small
Paris 7e,110.0,5.0,3.0,7.0,5.0,True,1685000.0,Breteuil,large
Paris 3e,91.57,3.0,2.0,5.0,2.0,True,1124000.0,Archives,medium
Paris 7e,176.42,5.0,3.0,7.0,0.0,True,2200000.0,Breteuil,large
Paris 9e,81.05,4.0,2.0,5.0,2.0,True,900000.0,Grands Boulevards,medium
Paris 16e,123.0,4.0,2.0,7.0,3.0,False,1239500.0,Muette-Nord - Trocadéro,large
Paris 14e,66.0,3.0,1.0,6.0,2.0,True,697000.0,Mouton - Duvernet,medium
Paris 12e,57.0,3.0,2.0,13.0,2.0,True,495000.0,Bel-Air - Nord,small
